term,warmth,competence,sociability,trust1
above,0.125,0.068,0.125,0.121
above all,0.611,0.206,0.167,0.611
above water,0.182,0.034,0.111,0.182
aboveboard,0.9,0.571,0.852,0.9
aboveground,0.417,0.259,0.381,0.417
abracadabra,0.333,-0.132,0.333,-0.067
abrasive,-0.667,0.186,-0.667,-0.606
abrasively,-0.75,0.857,-0.75,-0.636
abrasiveness,-0.708,-0.5,-0.708,-0.697
abreast,0.067,0.038,0.0,0.067
abridgement,0.306,0.0,-0.125,0.306
abroad,0.056,0.122,0.056,0.0
abrogate,-0.625,0.188,-0.625,-0.5
abrupt,-0.571,0.09,-0.571,-0.1
abruption,-0.583,-0.481,-0.583,-0.455
abruptly,-0.583,0.112,-0.583,-0.182
abruptness,-0.611,0.148,-0.611,-0.185
abscess,-0.81,-0.302,-0.81,-0.133
abscond,-0.867,0.542,-0.792,-0.867
absconder,-0.972,-0.5,-0.852,-0.972
absence,-0.583,-0.468,-0.583,-0.061
absent,-0.583,-0.768,-0.583,-0.121
absentee,-0.625,-0.442,-0.625,-0.515
absently,-0.667,-0.63,-0.667,-0.242
absentmindedness,-0.25,-0.625,-0.083,-0.25
absentness,-0.63,-0.958,-0.63,-0.185
absolutely not,-0.619,-0.3,-0.619,-0.067
absoluteness,0.515,0.815,-0.095,0.515
absolution,0.8,0.328,0.619,0.8
absolutist,-0.6,1.0,-0.6,-0.03
absolvable,0.455,-0.25,0.25,0.455
absolve,0.667,0.32,0.667,0.639
absolvent,0.185,0.667,-0.042,0.185
absorbability,0.0,-0.083,0.0,0.0
absorbable,0.205,0.222,0.0,0.205
absorptive,0.03,-0.208,0.0,0.03
abstain,0.625,-0.146,-0.375,0.625
abstention,0.394,0.018,-0.333,0.394
abstentious,-0.571,-0.375,-0.571,0.528
abstinence,0.727,-0.142,-0.429,0.727
abstinently,0.633,-0.458,-0.444,0.633
absurd,-0.611,-0.432,-0.611,-0.333
absurdist,-0.417,0.333,-0.417,-0.121
absurdity,-0.583,-0.546,-0.583,-0.333
absurdly,-0.455,-0.167,-0.375,-0.455
absurdness,-0.667,-0.333,-0.667,-0.182
abundance,0.952,0.704,0.952,0.167
abundant,0.889,0.52,0.889,0.267
abundantly,0.714,0.286,0.714,0.139
abuse,-1.0,-0.062,-1.0,-0.879
abused,-0.852,-0.53,-0.852,-0.7
abuser,-1.0,-0.434,-0.952,-1.0
abusive,-0.952,0.134,-0.952,-0.909
abusively,-0.963,0.37,-0.963,-0.909
abusiveness,-1.0,0.917,-1.0,-0.963
aby,-0.042,-0.264,-0.042,-0.037
abysmal,-0.958,0.196,-0.958,-0.556
abysmally,-0.792,-0.958,-0.792,-0.788
abyss,-0.75,-0.408,-0.75,-0.033
academic,0.697,0.624,0.0,0.697
academic freedom,0.792,0.2,0.708,0.792
academic year,0.167,0.29,0.048,0.167
academically,0.615,0.407,-0.429,0.615
academy,0.636,0.584,-0.042,0.636
academy award,0.917,0.556,0.917,0.606
academy awards,0.762,0.5,0.762,0.606
acapulco,0.583,0.042,0.583,0.0
accede,0.533,0.074,0.524,0.533
accelerant,-0.417,0.604,-0.25,-0.417
acceleration,0.222,0.686,0.0,0.222
acceleratory,0.0,0.708,0.0,0.0
accentual,0.0,0.296,0.0,0.0
accentuate,0.19,0.334,0.19,0.0
accentuation,0.083,0.583,0.083,0.0
accept,0.911,0.13,0.911,0.515
acceptability,0.758,0.407,0.619,0.758
acceptable,0.7,0.166,0.5,0.7
acceptableness,0.583,0.296,0.583,0.576
acceptably,0.533,0.208,0.286,0.533
acceptance,0.958,0.51,0.958,0.5
acceptances,0.875,0.296,0.875,0.576
acceptant,0.762,-0.481,0.762,0.625
acceptor,0.762,0.037,0.762,0.444
access,0.2,0.134,0.125,0.2
accessary,-0.242,-0.208,-0.042,-0.242
accessibility,0.875,0.026,0.875,0.515
accessible,0.905,0.29,0.905,0.788
accessibly,0.889,0.222,0.889,0.333
accessorize,0.167,0.143,0.167,0.061
accident,0.0,-0.328,0.0,0.0
accidental,0.083,-0.386,-0.056,0.083
accidentally,0.033,-0.334,0.0,0.033
accidently,-0.056,-0.542,-0.056,0.0
acclaimer,0.524,0.611,0.524,0.444
acclamation,0.905,0.593,0.905,0.273
acclamatory,0.81,0.667,0.81,0.121
acclimate,0.556,0.25,0.556,0.083
acclimation,0.4,0.458,0.333,0.4
acclimatization,0.375,0.125,0.375,0.121
acclimatize,0.458,0.476,0.458,0.182
accolade,0.905,0.55,0.905,0.733
accommodate,0.906,0.132,0.906,0.556
accommodation,0.875,0.174,0.875,0.576
accommodative,0.917,-0.222,0.917,0.727
accommodator,0.958,-0.167,0.958,0.515
accompanied,0.917,-0.208,0.917,0.8
accompanier,0.857,0.111,0.857,0.593
accompaniment,0.833,0.39,0.833,0.167
accompanist,0.833,-0.333,0.833,0.564
accompany,0.892,0.17,0.892,0.606
accompanying,0.81,0.164,0.81,0.515
accomplish,0.815,0.632,0.815,0.25
accomplishable,0.458,0.875,0.458,0.121
accomplished,0.606,0.596,0.556,0.606
accomplisher,0.857,0.889,0.857,0.606
accomplishment,0.267,0.776,0.19,0.267
accord,0.905,-0.236,0.905,0.528
accordable,0.524,0.048,0.524,0.212
accordance,0.606,0.2,0.095,0.606
accordant,0.63,0.238,0.63,0.545
according to,0.5,0.112,0.111,0.5
accost,-0.667,0.792,-0.667,-0.472
accountability,0.879,0.666,0.833,0.879
accountable,0.933,0.554,0.933,0.909
accountant,0.722,0.278,-0.296,0.722
accounts receivable,-0.286,0.354,-0.286,0.083
accoutrement,0.091,0.542,0.0,0.091
accredit,0.667,0.619,0.458,0.667
accreditation,0.593,0.667,0.19,0.593
accredited,0.459,0.515,0.333,0.459
accruement,0.139,0.519,0.0,0.139
accumulative,0.222,0.542,-0.111,0.222
accurate,0.473,0.474,0.19,0.473
accurately,0.818,0.556,0.037,0.818
accurateness,0.926,0.8,0.074,0.926
accurse,-0.879,-0.167,-0.714,-0.879
accursed,-0.909,-0.31,-0.708,-0.909
accursedly,-0.889,-0.583,-0.833,-0.889
accursedness,-1.0,-0.815,-1.0,-0.861
accusable,-0.625,-0.667,-0.625,-0.485
accusation,-0.606,0.128,-0.556,-0.606
accusative,-0.524,-0.036,-0.524,-0.5
accusatively,-0.667,0.238,-0.667,-0.545
accusatorial,-0.6,0.778,-0.6,-0.576
accusatorially,-0.722,0.583,-0.722,-0.633
accusatory,-0.667,0.926,-0.667,-0.528
accuse,-0.6,0.0,-0.583,-0.6
accused,-0.667,-0.16,-0.583,-0.667
accused of,-0.667,-0.276,-0.667,-0.636
accuser,-0.542,0.23,-0.542,-0.455
accusing,-0.667,-0.352,-0.667,-0.455
accustom,0.458,0.148,0.458,0.121
ace,0.556,0.092,0.429,0.556
acerbic,-0.75,0.25,-0.75,-0.455
acetic,-0.429,0.038,-0.429,0.033
acetylene,-0.267,0.009,-0.267,0.037
ache,-0.381,-0.376,-0.381,-0.061
achievable,0.476,0.556,0.476,0.242
achieve,0.939,0.686,0.75,0.939
achieve success,0.857,0.75,0.857,0.758
achieved,0.727,0.55,0.167,0.727
achievement,0.778,0.518,0.19,0.778
achiever,0.667,1.0,0.667,0.639
achilles heel,-0.25,-0.206,-0.222,-0.25
achiness,-0.091,-0.958,-0.083,-0.091
aching,-0.333,-0.304,-0.333,-0.028
achy,-0.292,-0.254,-0.292,-0.139
acid,-0.619,0.132,-0.619,-0.194
acid rain,-0.619,-0.334,-0.619,-0.238
acidic,-0.667,0.074,-0.667,-0.061
acidification,-0.519,-0.571,-0.519,-0.111
acidity,-0.625,-0.28,-0.625,0.0
acidize,-0.667,0.407,-0.667,-0.667
acidly,-0.667,0.458,-0.667,-0.481
acknowledge,0.81,0.322,0.81,0.767
acknowledgeable,0.636,0.458,0.556,0.636
acknowledged,0.697,0.53,0.667,0.697
acknowledgement,0.875,0.66,0.875,0.593
acknowledger,0.778,0.111,0.778,0.515
acknowledgment,0.857,0.554,0.857,0.697
acne,-0.5,-0.384,-0.5,-0.074
acolyte,0.708,-0.375,0.708,0.545
acoustical,0.03,0.125,0.027,0.03
acquaint,0.667,0.278,0.667,0.067
acquaintance,0.481,0.34,0.481,0.222
acquaintanceship,0.5,0.0,0.5,0.167
acquainted,0.583,0.264,0.583,0.394
acquirable,0.167,0.37,0.048,0.167
acquire,0.381,0.4,0.381,0.296
acquired,0.048,0.556,0.048,0.033
acquiring,0.3,0.634,0.042,0.3
acquisition,-0.222,0.472,-0.222,0.152
acquisitions,0.152,0.58,0.0,0.152
acquisitively,-0.704,0.63,-0.704,-0.074
acquisitiveness,-0.567,0.708,-0.381,-0.567
acquittal,0.762,0.4,0.762,0.704
acreage,0.0,0.056,0.0,0.0
acrid,-0.667,0.5,-0.667,-0.524
acridity,-0.625,-0.148,-0.625,-0.556
acridly,-0.667,0.167,-0.667,-0.576
acridness,-0.792,-0.542,-0.792,-0.556
acrimonious,-0.857,0.583,-0.857,-0.606
acrimoniously,-0.833,-0.375,-0.833,-0.606
acrimoniousness,-0.926,-0.556,-0.926,-0.611
acrimony,-0.889,-0.292,-0.889,-0.867
acrobat,0.292,0.204,0.292,0.061
acrobatic,0.407,0.519,0.407,0.111
acrobatically,0.028,0.708,0.0,0.028
acronym,0.03,0.0,0.0,0.03
acrophobia,-0.25,-0.704,-0.25,0.03
acropolis,0.083,0.762,0.083,0.033
across,0.0,0.0,0.0,0.0
across from,0.061,-0.06,0.037,0.061
act,0.571,0.47,0.571,0.128
act out,-0.458,-0.088,-0.458,-0.424
acting,0.25,0.0,0.25,-0.167
acting out,-0.633,-0.3,-0.417,-0.633
action,0.636,0.604,0.5,0.636
action movie,0.0,0.108,0.0,0.0
actionable,0.212,0.226,0.0,0.212
activate,0.458,0.612,0.458,0.194
activated,0.37,0.571,0.37,0.1
activation,0.458,0.508,0.458,0.242
activator,0.381,0.667,0.381,0.061
active,0.81,0.462,0.81,0.564
actively,0.667,0.667,0.667,0.111
activeness,0.583,0.708,0.583,0.133
activity,0.905,0.614,0.905,0.152
actor,0.519,0.258,0.519,0.083
actress,0.571,0.192,0.571,0.061
actual,0.815,0.432,0.0,0.815
actuality,0.63,0.2,0.0,0.63
actualization,0.792,0.722,0.792,0.567
actualize,0.133,0.63,0.042,0.133
actually,0.152,0.0,0.125,0.152
acupressure,0.571,0.333,0.571,0.242
ad hominem,-0.815,-0.034,-0.714,-0.815
ad nauseam,-0.417,-0.034,-0.417,-0.222
adamant,0.633,0.15,-0.407,0.633
adapt,0.704,0.102,0.5,0.704
adaptability,0.958,0.667,0.958,0.704
adaptable,0.833,0.282,0.833,0.636
adaptation,0.37,0.218,0.37,0.1
adaption,0.619,0.542,0.619,0.1
adaptive,0.571,0.625,0.571,0.167
adaptively,0.375,0.417,0.375,0.273
adaptor,0.333,0.292,0.333,0.0
add,0.762,0.108,0.762,0.0
add on,0.148,0.034,0.148,0.0
add up,0.625,-0.134,0.625,0.567
addams family,-0.519,0.124,-0.519,0.056
added value,0.833,0.516,0.833,0.636
addendum,0.091,-0.164,0.0,0.091
adder,-0.667,0.176,-0.667,-0.611
addict,-0.636,-0.346,-0.583,-0.636
addicted,-0.667,-0.034,-0.667,-0.636
addictedness,-0.708,-0.778,-0.708,-0.667
addiction,-0.833,-0.16,-0.833,-0.667
addictive,-0.542,-0.056,-0.542,-0.515
addictiveness,-0.545,-0.6,-0.524,-0.545
additional,0.222,0.052,0.037,0.222
additionally,0.481,0.056,0.292,0.481
addlebrained,-0.556,-0.75,-0.458,-0.556
addled,-0.767,-0.625,-0.542,-0.767
address,0.4,0.134,0.4,0.182
addressable,0.5,0.583,0.444,0.5
adeptly,0.194,0.815,0.111,0.194
adeptness,0.2,0.704,0.0,0.2
adequate,0.545,0.41,0.042,0.545
adequately,0.6,0.222,0.0,0.6
adequateness,0.3,0.571,0.095,0.3
adhd,0.067,-0.072,-0.056,0.067
adhere,0.818,0.108,0.375,0.818
adherence,0.697,0.26,0.5,0.697
adieu,-0.292,-0.316,-0.292,0.042
adipose,-0.5,-0.218,-0.5,0.091
adjacency,0.0,-0.25,0.0,0.0
adjacent,0.121,0.072,0.0,0.121
adjacent to,0.167,-0.068,0.0,0.167
adjourn,0.182,-0.05,-0.037,0.182
adjust,0.429,0.276,0.429,0.042
adjustability,0.667,0.476,0.667,0.233
adjustable,0.303,0.389,0.238,0.303
admin,0.533,0.708,0.0,0.533
administer,0.667,0.72,0.375,0.667
administrable,0.267,0.667,0.0,0.267
administration,0.8,0.572,0.0,0.8
admirable,0.97,0.74,0.944,0.97
admirably,0.833,0.5,0.833,0.7
admiral,0.7,0.694,0.481,0.7
admiralship,0.528,1.0,0.208,0.528
admiration,0.926,0.452,0.926,0.767
admire,1.0,0.408,1.0,0.606
admired,1.0,0.63,1.0,0.697
admirer,0.952,0.3,0.952,0.545
admiring,1.0,0.258,1.0,0.545
admissibility,0.2,0.204,0.095,0.2
admissible,0.485,0.284,0.0,0.485
admission,0.571,0.464,0.571,0.303
admittance,0.375,0.196,0.375,0.333
admitted,0.606,0.534,0.389,0.606
admonish,-0.556,0.667,-0.556,0.481
admonisher,0.5,0.762,-0.286,0.5
admonishment,0.519,0.583,-0.5,0.519
admonition,-0.471,-0.09,-0.471,0.4
adolescent,0.458,0.018,0.458,0.121
adopt,1.0,0.402,1.0,0.242
adoptability,0.833,0.095,0.833,0.167
adoptable,0.958,-0.25,0.958,0.067
adopter,1.0,0.37,1.0,0.394
adoption,1.0,0.178,1.0,0.818
adoptively,0.792,-0.042,0.792,0.0
adorability,0.905,-0.333,0.905,0.444
adorable,1.0,-0.086,1.0,0.273
adorableness,1.0,-0.5,1.0,0.242
adorably,0.944,-0.333,0.944,0.233
adoration,0.952,0.416,0.952,0.455
adore,0.905,0.314,0.905,0.556
adored,1.0,-0.148,1.0,0.611
adorer,0.952,0.222,0.952,0.472
adoring,1.0,0.434,1.0,0.583
adorn,0.704,-0.036,0.704,0.2
adorner,0.278,0.222,0.278,0.028
adornment,0.519,-0.246,0.519,0.194
adrenal,-0.042,0.625,-0.042,0.0
adrenalin,0.182,0.572,-0.133,0.182
adrenaline,0.333,0.551,0.333,0.1
adrift,-0.524,-0.54,-0.524,-0.306
adroitness,0.185,0.778,0.0,0.185
adulate,-0.433,-0.667,0.111,-0.433
adulation,0.926,0.25,0.926,-0.048
adulatory,0.917,0.143,0.917,-0.424
adult,0.556,0.574,0.25,0.556
adulterant,-0.778,-0.524,-0.778,-0.767
adulterate,-0.852,-0.333,-0.625,-0.852
adulterated,-0.727,-0.26,-0.63,-0.727
adulteration,-0.8,-0.556,-0.792,-0.8
adulterator,-0.939,0.63,-0.905,-0.939
adulterer,-0.917,-0.186,-0.917,-0.9
adulteress,-1.0,-0.458,-0.875,-1.0
adulterous,-1.0,-0.375,-0.708,-1.0
adulterously,-1.0,0.208,-0.833,-1.0
adultery,-0.917,0.02,-0.917,-0.889
adultlike,0.273,0.593,0.167,0.273
advance,0.524,0.716,0.524,0.267
advance poll,0.606,0.27,0.208,0.606
advanced,0.467,0.594,0.333,0.467
advancement,0.81,0.678,0.81,0.0
advancer,0.458,0.952,0.259,0.458
advancing,0.639,0.722,0.286,0.639
advantage,0.5,0.718,0.5,0.333
advantageous,0.611,0.578,0.519,0.611
advantageously,0.333,0.958,0.333,0.121
advantageousness,0.208,0.75,0.208,0.2
advent,0.619,0.254,0.619,0.167
advent calendar,0.542,0.25,0.542,0.111
adventure,0.917,0.42,0.917,0.242
adventurer,0.889,0.736,0.889,0.067
adventures,1.0,0.498,1.0,0.067
adventuresome,0.667,0.667,0.667,0.212
adventurism,0.625,0.708,0.625,-0.242
adventurist,0.593,0.708,0.593,0.154
adventurous,0.958,0.444,0.958,0.182
adventurously,0.667,0.625,0.667,0.167
adventurousness,0.704,0.667,0.704,0.1
adversarial,-0.722,0.81,-0.722,-0.63
adversary,-0.75,-0.086,-0.75,-0.545
adverse,-0.667,-0.23,-0.667,-0.639
adversely,-0.611,-0.63,-0.611,-0.367
adverseness,-0.667,-0.389,-0.667,-0.606
adversity,0.111,0.076,0.111,0.0
advice,0.806,0.376,0.792,0.806
advisable,0.697,0.02,0.524,0.697
advisably,0.545,0.458,0.286,0.545
advise,0.697,0.41,0.667,0.697
advised,0.636,0.238,0.519,0.636
advisedly,0.515,0.524,0.125,0.515
advisee,0.741,-0.458,0.741,0.375
advisement,0.576,0.31,0.333,0.576
adviser,0.818,0.41,0.762,0.818
advisor,0.75,0.378,0.75,0.676
advisory,0.533,0.266,0.417,0.533
advocator,0.81,0.593,0.81,0.515
advocatory,0.667,0.593,0.5,0.667
aerate,0.125,0.148,0.125,0.033
aerator,-0.042,0.556,-0.042,0.028
aerialist,0.429,0.519,0.429,0.083
aerobic,0.429,0.542,0.429,0.167
aerobically,0.083,0.444,0.042,0.083
aerobics,0.625,0.254,0.625,0.047
aerodynamicist,0.278,0.926,-0.056,0.278
aeronaut,-0.143,0.625,-0.143,0.1
aeronautical,0.048,0.704,0.048,0.0
aerophobia,-0.619,-0.875,-0.619,0.033
aeroplane,0.1,0.288,0.0,0.1
aerospace,0.625,0.558,0.0,0.625
aerostatic,-0.222,0.25,-0.222,0.0
aerostation,0.0,0.222,0.0,0.0
aesthetic,0.458,0.052,0.458,0.182
aesthetical,0.121,0.167,0.0,0.121
aesthetically,0.292,0.111,0.292,0.139
aesthetician,0.545,0.458,0.542,0.545
aestheticism,-0.167,0.571,-0.167,0.121
aesthetics,0.091,0.098,0.083,0.091
afar,-0.292,-0.284,-0.292,0.03
affability,0.917,-0.095,0.917,0.7
affable,0.917,-0.096,0.917,0.639
affableness,0.952,0.222,0.952,0.667
affably,1.0,0.296,1.0,0.639
affectation,-0.667,-0.63,-0.571,-0.667
affectedly,-0.625,-0.524,-0.625,-0.567
affectedness,-0.333,-0.542,-0.333,-0.2
affecting,0.417,-0.212,0.417,0.056
affection,0.931,0.392,0.931,0.778
affectionate,0.952,0.1,0.952,0.867
affectionately,1.0,-0.583,1.0,0.667
affections,0.944,0.31,0.944,0.6
affective,0.944,0.333,0.944,0.194
affiliate,0.708,0.238,0.708,0.556
affiliated,0.667,0.07,0.667,0.667
affinitive,0.958,0.143,0.958,0.444
affinity,0.873,0.074,0.873,0.233
affirm,0.944,0.462,0.944,0.636
affirmable,0.576,0.417,0.238,0.576
affirmation,0.917,0.378,0.917,0.694
affirmative,0.905,0.632,0.905,0.667
affirmative action,0.667,0.108,0.667,0.267
affirmatively,0.889,0.622,0.889,0.63
affirmer,0.875,0.481,0.875,0.583
afflict,-0.714,-0.414,-0.714,-0.273
afflicted,-0.476,-0.666,-0.476,-0.167
afflicter,-0.792,0.714,-0.792,-0.694
affliction,-0.571,-0.216,-0.571,-0.091
afflictive,-0.583,-0.619,-0.583,-0.074
affluence,-0.333,0.444,-0.333,0.167
affluent,0.37,-0.046,0.37,0.25
affluently,0.033,0.708,0.0,0.033
affordability,0.542,0.0,0.542,0.133
affordable,0.815,-0.014,0.762,0.815
affront,-0.741,0.094,-0.741,-0.545
affronted,-0.593,0.054,-0.593,-0.306
aficionado,0.6,0.476,0.5,0.6
afire,0.81,0.35,0.81,0.067
aflame,0.625,0.63,0.625,-0.125
aflutter,0.542,-0.5,0.542,-0.061
afoot,0.042,0.0,0.042,0.0
afoul,-0.619,-0.333,-0.619,-0.556
afraid,-0.286,-0.529,-0.286,-0.091
afresh,0.458,-0.04,0.458,0.152
after hours,0.167,0.028,0.167,-0.03
after party,0.963,-0.066,0.963,-0.061
afterbirth,-0.583,-0.556,-0.583,0.0
afterglow,0.815,0.333,0.815,0.143
aftermath,-0.481,-0.112,-0.481,0.0
afternoon tea,0.889,-0.142,0.889,0.212
afterparty,0.958,0.0,0.958,0.152
afterschool,0.815,-0.048,0.815,0.061
aftershock,-0.542,0.037,-0.542,-0.306
aftertaste,-0.19,-0.09,-0.19,0.091
afterthought,-0.125,-0.302,-0.125,0.026
afterward,0.111,0.0,0.111,0.061
afterword,0.048,0.148,0.048,0.0
against,-0.542,-0.194,-0.542,-0.389
agave,0.083,0.111,0.083,0.0
age gap,0.083,-0.178,0.083,0.037
aged,0.467,-0.528,0.111,0.467
ageism,-0.833,-0.667,-0.833,-0.1
ageist,-0.762,0.611,-0.762,-0.515
ageless,0.583,0.292,0.583,0.152
agelessness,0.111,0.167,0.0,0.111
agent orange,-1.0,-0.04,-1.0,-0.75
aggravate,-0.667,-0.072,-0.667,-0.5
aggravated,-0.63,-0.14,-0.63,-0.152
aggravates,-0.667,-0.286,-0.667,-0.576
aggravating,-0.667,0.28,-0.667,-0.259
aggravation,-0.704,0.226,-0.704,-0.042
aggravator,-0.667,0.952,-0.667,-0.633
aggregate,-0.167,0.112,-0.167,0.061
aggresive,-0.778,0.139,-0.778,-0.606
aggression,-0.905,0.066,-0.905,-0.639
aggressive,-0.952,0.296,-0.952,-0.633
aggressively,-0.667,0.376,-0.667,-0.606
aggressiveness,-0.792,0.296,-0.792,-0.583
aggressor,-0.889,0.646,-0.889,-0.667
aggrieve,-0.708,-0.5,-0.708,-0.467
aggrieved,-0.476,-0.625,-0.476,-0.333
aggrievedly,-0.5,-0.611,-0.5,-0.139
agh,-0.625,-0.2,-0.625,-0.091
aghast,-0.571,-0.072,-0.571,-0.212
aghhh,-0.593,-0.475,-0.593,-0.083
agile,0.708,0.55,0.708,0.212
agilely,0.429,0.741,0.429,0.212
agility,0.333,0.63,0.333,0.167
aging,0.433,-0.432,-0.067,0.433
agitate,-0.481,0.186,-0.481,-0.152
agitatedly,-0.667,-0.458,-0.667,-0.417
agitation,-0.583,-0.106,-0.583,-0.485
agitator,-0.667,0.708,-0.667,-0.667
aglow,1.0,0.594,1.0,0.2
agnostic,-0.417,0.148,-0.417,-0.033
ago,0.03,-0.192,0.0,0.03
agog,0.481,0.407,0.481,0.083
agonist,-0.542,0.708,-0.542,0.033
agonistic,-0.667,0.792,-0.667,-0.424
agonize,-0.476,-0.619,-0.476,-0.205
agonizing,-0.75,-0.32,-0.75,-0.067
agony,-0.917,-0.214,-0.917,-0.091
agoraphobia,-0.833,-0.124,-0.833,0.0
agoraphobic,-0.875,-0.875,-0.875,-0.028
agree,0.867,0.09,0.867,0.833
agree on,0.875,0.488,0.875,0.792
agree to,0.952,0.178,0.952,0.606
agree with,1.0,0.148,1.0,0.722
agreeability,1.0,-0.417,1.0,0.846
agreeable,0.958,0.392,0.958,0.704
agreeableness,1.0,-0.333,1.0,0.833
agreeably,1.0,0.375,1.0,0.611
agreed,0.875,0.148,0.875,0.767
agreed upon,0.818,0.154,0.722,0.818
agreeing,0.958,0.114,0.958,0.704
agreement,0.833,0.472,0.833,0.8
agressive,-0.792,0.502,-0.792,-0.633
agricultural,0.333,-0.054,0.0,0.333
agriculture,0.524,-0.07,0.524,0.515
agriculturist,0.722,0.519,0.524,0.722
agrochemical,-0.458,0.444,-0.458,-0.273
agronomic,0.533,0.458,0.0,0.533
aground,-0.037,-0.11,-0.037,0.0
ahead,0.259,0.346,0.259,0.0
ahhhh,0.63,-0.2,0.63,-0.028
aid,0.921,0.082,0.921,0.788
aide,0.917,-0.132,0.917,0.641
aiding,0.865,0.138,0.865,0.852
aidless,-0.619,-0.917,-0.619,-0.333
ail,-0.524,-0.23,-0.524,-0.111
ailing,-0.542,-0.694,-0.542,-0.091
ailment,-0.5,-0.446,-0.5,0.067
aim at,0.061,0.25,0.0,0.061
aim for,0.458,0.142,0.458,0.208
aimless,-0.611,-0.634,-0.611,-0.185
aimlessly,-0.5,-1.0,-0.5,-0.242
aimlessness,-0.625,-0.905,-0.625,-0.545
air,0.067,-0.146,0.042,0.067
air conditioned,-0.619,0.172,-0.619,0.042
air conditioning,0.583,0.364,-0.333,0.583
air drop,0.0,-0.068,0.0,0.0
air duct,-0.333,0.0,-0.333,0.167
air flow,0.121,0.0,0.042,0.121
air freshener,0.333,0.322,0.333,0.167
air horn,-0.458,0.222,-0.458,0.067
air pollution,-0.875,-0.032,-0.875,-0.182
air raid,-0.833,0.0,-0.833,-0.528
air show,0.25,0.0,0.208,0.25
air time,0.381,-0.034,0.381,0.0
air traffic,0.515,0.0,0.0,0.515
