Term,worry,OrdinalClass,MajorityLabel
excuseless,3.0,3,3
dumbbitch,3.0,3,3
anesthetist,3.0,3,3
firehose,3.0,3,3
disembowel,3.0,3,3
aneurysm,3.0,3,3
depersonalize,3.0,3,3
nitroglycerine,3.0,3,3
disincorporation,3.0,3,3
armageddon,3.0,3,3
clacker,3.0,3,3
collapsibility,3.0,3,3
hornlike,3.0,3,3
titties,3.0,3,3
decapitation,3.0,3,3
stickup,3.0,3,3
infuriated,3.0,3,3
apoplectically,3.0,3,3
poisoner,3.0,3,3
episiotomy,3.0,3,3
catatonia,3.0,3,3
fishhook,3.0,3,3
horribleness,3.0,3,3
scrum,3.0,3,3
examinee,3.0,3,3
killer,3.0,3,3
chipmaker,3.0,3,3
suicidebombing,3.0,3,3
distrustfully,3.0,3,3
antinationalist,3.0,3,3
anxietyattack,3.0,3,3
genocide,3.0,3,3
panicking,3.0,3,3
sonice,3.0,3,3
doctrinarian,3.0,3,3
sodomize,3.0,3,3
mortified,3.0,3,3
glutinous,3.0,3,3
salesgirl,3.0,3,3
firestorm,3.0,3,3
unreleased,3.0,3,3
smolder,3.0,3,3
insensitively,3.0,3,3
nigga,3.0,3,3
nazism,3.0,3,3
hoggishness,3.0,3,3
lesbianism,3.0,3,3
sexiest,3.0,3,3
harrassment,3.0,3,3
torturously,3.0,3,3
dementedly,3.0,3,3
annihilative,3.0,3,3
stabbed,3.0,3,3
hypervelocity,3.0,3,3
through,3.0,3,3
reclusiveness,3.0,3,3
exhibitionism,3.0,3,3
igniter,3.0,3,3
unsalvageable,3.0,3,3
loveless,3.0,3,3
tampered,3.0,3,3
spermatozoid,3.0,3,3
barbarically,3.0,3,3
extort,3.0,3,3
sandworm,3.0,3,3
excruciate,3.0,3,3
nazi,3.0,3,3
strangulation,3.0,3,3
hydroplane,3.0,3,3
kidnapping,3.0,3,3
horrible,3.0,3,3
horrifically,3.0,3,3
pecker,3.0,3,3
homicidal,3.0,3,3
vivisect,3.0,3,3
coquettishness,3.0,3,3
aghhh,3.0,3,3
bluffer,3.0,3,3
paralyzed,3.0,3,3
overcrowded,3.0,3,3
molestation,3.0,3,3
neoliberal,3.0,3,3
hosed,3.0,3,3
loganberry,3.0,3,3
helter,3.0,3,3
dismemberer,3.0,3,3
bestiality,3.0,3,3
undesirably,3.0,3,3
rape,3.0,3,3
molest,2.94,3,3
haemorrhage,2.94,3,3
cantbreathe,2.93,3,3
horrors,2.92,3,3
infanticide,2.92,3,3
hellhole,2.92,3,3
cannibalistic,2.92,3,3
gestapo,2.9,3,3
barbarity,2.9,3,3
terrorization,2.9,3,3
devastate,2.89,3,3
sodomy,2.89,3,3
kill,2.89,3,3
horrified,2.89,3,3
atrocity,2.89,3,3
disembowelment,2.89,3,3
desperation,2.88,3,3
bloodthirsty,2.88,3,3
migraine,2.88,3,3
enslavement,2.88,3,3
excruciation,2.88,3,3
antisemitic,2.88,3,3
palpitations,2.88,3,3
retards,2.88,3,3
gunshot,2.88,3,3
cyanide,2.88,3,3
racketeering,2.88,3,3
leprosy,2.88,3,3
dismemberment,2.87,3,3
agony,2.87,3,3
hopeless,2.87,3,3
handgrenade,2.86,3,3
arachnophobia,2.86,3,3
extermination,2.86,3,3
eugenicist,2.86,3,3
hyperventilating,2.86,3,3
distress,2.86,3,3
furiousness,2.86,3,3
doomed,2.86,3,3
ultraviolent,2.86,3,3
immolate,2.86,3,3
detestability,2.86,3,3
explosiveness,2.86,3,3
impale,2.86,3,3
kidnapped,2.86,3,3
perdition,2.86,3,3
brutality,2.86,3,3
swastika,2.85,3,3
reinvasion,2.83,3,3
ravishment,2.83,3,3
sensationalism,2.83,3,3
molester,2.83,3,3
clickbait,2.83,3,3
soscary,2.83,3,3
besiegement,2.83,3,3
kidnapper,2.83,3,3
transphobic,2.83,3,3
tyrannically,2.83,3,3
fibrillate,2.83,3,3
soscared,2.83,3,3
pedophilic,2.83,3,3
unsolvable,2.83,3,3
whizzing,2.83,3,3
fiendlike,2.83,3,3
fuhrer,2.83,3,3
misgovernment,2.83,3,3
overwrought,2.83,3,3
capitulator,2.83,3,3
shitless,2.83,3,3
undead,2.83,3,3
apoplexy,2.83,3,3
cataclysmal,2.83,3,3
scorner,2.83,3,3
omfg,2.83,3,3
cyclonic,2.83,3,3
niggardly,2.83,3,3
strangled,2.83,3,3
despised,2.83,3,3
kidnap,2.83,3,3
maliciousness,2.83,3,3
intubate,2.83,3,3
calamitously,2.83,3,3
destructivity,2.83,3,3
molesting,2.83,3,3
coercer,2.83,3,3
cirrhosis,2.83,3,3
botchy,2.83,3,3
maltreatment,2.83,3,3
infantility,2.83,3,3
reprehensibility,2.83,3,3
egomaniacal,2.83,3,3
lynching,2.83,3,3
impregnator,2.83,3,3
gunship,2.83,3,3
tantrum,2.83,3,3
paralyses,2.83,3,3
insidiousness,2.83,3,3
madhouse,2.83,3,3
desolately,2.83,3,3
abominableness,2.83,3,3
lewdly,2.83,3,3
sociopathic,2.83,3,3
ohdear,2.83,3,3
malevolently,2.82,3,3
deliriousness,2.82,3,3
crucifixion,2.82,3,3
heartattack,2.82,3,3
castration,2.82,3,3
stillborn,2.81,3,3
rabies,2.81,3,3
horrifying,2.8,3,3
antiscientific,2.8,3,3
thunderstruck,2.8,3,3
destitution,2.8,3,3
tortured,2.8,3,3
jangly,2.8,3,3
disconcertedness,2.8,3,3
hyperventilate,2.8,3,3
unlivable,2.8,3,3
sleaze,2.8,3,3
nefariously,2.8,3,3
irreclaimable,2.8,3,3
scream,2.8,3,3
pisser,2.8,3,3
assassination,2.8,3,3
landmine,2.8,3,3
disgorge,2.8,3,3
nightmarishly,2.8,3,3
emasculation,2.8,3,3
scurvy,2.8,3,3
frightening,2.8,3,3
tormented,2.8,3,3
crackup,2.8,3,3
defeatist,2.8,3,3
stomp,2.8,3,3
scared,2.8,3,3
portentousness,2.8,3,3
uncontrollability,2.8,3,3
incriminatory,2.8,3,3
cataclysmic,2.8,3,3
psychotropic,2.8,3,3
disgracefully,2.8,3,3
ghoulishness,2.8,3,3
sightlessness,2.8,3,3
psychosis,2.8,3,3
uncomfortably,2.8,3,3
jobless,2.8,3,3
ghastliness,2.8,3,3
druggie,2.8,3,3
anaphylaxis,2.8,3,3
fractural,2.8,3,3
slapped,2.8,3,3
hyperirritable,2.8,3,3
ensnare,2.8,3,3
intrusiveness,2.8,3,3
worthlessness,2.8,3,3
excremental,2.8,3,3
anaphylactic,2.8,3,3
malefaction,2.8,3,3
conscienceless,2.8,3,3
satanically,2.8,3,3
severe,2.8,3,3
conflagration,2.8,3,3
worstfeeling,2.8,3,3
contortedly,2.8,3,3
lascivious,2.8,3,3
dickhead,2.8,3,3
atrociousness,2.8,3,3
catastrophic,2.8,3,3
convulsive,2.8,3,3
knifeman,2.8,3,3
waspishly,2.8,3,3
heckler,2.8,3,3
wrenching,2.8,3,3
depression,2.8,3,3
malignantly,2.8,3,3
anthrax,2.79,3,3
horrify,2.79,3,3
murderer,2.79,3,3
paranoia,2.78,3,3
sadism,2.78,3,3
impotence,2.78,3,3
matricidal,2.78,3,3
violently,2.78,3,3
scariest,2.78,3,3
molested,2.78,3,3
horrific,2.78,3,3
terrifying,2.78,3,3
leprous,2.78,3,3
psychoses,2.78,3,3
decapitator,2.78,3,3
gruesomely,2.77,3,3
anguish,2.76,3,3
annihilate,2.76,3,3
acrophobia,2.75,3,3
tyrannize,2.75,3,3
heinousness,2.75,3,3
pustule,2.75,3,3
bloodletting,2.75,3,3
crackhead,2.75,3,3
segregationist,2.75,3,3
seizure,2.75,3,3
hydrophobia,2.75,3,3
nihilistic,2.75,3,3
forcedly,2.75,3,3
murderously,2.75,3,3
straitjacket,2.75,3,3
antitheism,2.75,3,3
deviously,2.75,3,3
straightjacket,2.75,3,3
boogeyman,2.75,3,3
epilepsy,2.75,3,3
crippling,2.75,3,3
arteriolosclerosis,2.75,3,3
dread,2.75,3,3
irrepressibleness,2.75,3,3
intimidation,2.75,3,3
disgracefulness,2.75,3,3
defloration,2.75,3,3
unendurable,2.75,3,3
makesmemad,2.75,3,3
alzheimer,2.75,3,3
deathblow,2.75,3,3
gunfire,2.75,3,3
tornado,2.75,3,3
foreboder,2.75,3,3
convulsiveness,2.75,3,3
unmentionable,2.75,3,3
wretchedness,2.75,3,3
torturous,2.75,3,3
overhunt,2.75,3,3
assassinate,2.74,3,3
calamity,2.73,3,3
hopelessness,2.73,3,3
terrorist,2.73,3,3
cruelty,2.73,3,3
childloss,2.73,3,3
assassin,2.73,3,3
seasickness,2.73,3,3
castrator,2.73,3,3
masochistic,2.71,3,3
madness,2.71,3,3
thuggery,2.71,3,3
suffocated,2.71,3,3
toomuchtodo,2.71,3,3
uncomforting,2.71,3,3
abhorrence,2.71,3,3
traitorous,2.71,3,3
penitentiary,2.71,3,3
selfharm,2.71,3,3
vengefulness,2.71,3,3
abominably,2.71,3,3
hypoxia,2.71,3,3
abducted,2.71,3,3
hemorrhage,2.71,3,3
insaneness,2.71,3,3
soannoyed,2.71,3,3
robbery,2.71,3,3
gruesomeness,2.71,3,3
hyperthyroidism,2.71,3,3
exasperated,2.71,3,3
draconically,2.71,3,3
hateeee,2.71,3,3
apocalyptical,2.71,3,3
flagellation,2.71,3,3
despot,2.71,3,3
exterminate,2.71,3,3
claustrophobic,2.71,3,3
feloniously,2.71,3,3
slain,2.71,3,3
repugnancy,2.71,3,3
putrefied,2.71,3,3
angst,2.71,3,3
wraithlike,2.71,3,3
horror,2.71,3,3
desolate,2.71,3,3
cadaverous,2.71,3,3
felonious,2.71,3,3
ruination,2.71,3,3
villainy,2.71,3,3
robbed,2.7,3,3
wildfire,2.7,3,3
calamitous,2.7,3,3
paralytic,2.7,3,3
apoplectic,2.7,3,3
torturer,2.7,3,3
repugnant,2.7,3,3
ravager,2.7,3,3
abyss,2.7,3,3
untrustworthiness,2.7,3,3
bomb,2.69,3,3
electrocute,2.69,3,3
pestilence,2.69,3,3
slaughter,2.68,3,3
repercussions,2.67,3,3
aftershock,2.67,3,3
riotousness,2.67,3,3
advertiser,2.67,3,3
yeller,2.67,3,3
heartbreak,2.67,3,3
disrupt,2.67,3,3
bearbaiting,2.67,3,3
leggy,2.67,3,3
teamjesus,2.67,3,3
crossfire,2.67,3,3
dogfight,2.67,3,3
sadistic,2.67,3,3
dildo,2.67,3,3
bombsite,2.67,3,3
hyperventilation,2.67,3,3
asshole,2.67,3,3
hellishness,2.67,3,3
heartlessness,2.67,3,3
makesmehappy,2.67,3,3
defenselessness,2.67,3,3
obliterator,2.67,3,3
trapdoor,2.67,3,3
cavalryman,2.67,3,3
skinning,2.67,3,3
unappeased,2.67,3,3
nervouswreck,2.67,3,3
ranting,2.67,3,3
acrimoniously,2.67,3,3
misogynist,2.67,3,3
vilely,2.67,3,3
scarily,2.67,3,3
atrocities,2.67,3,3
gutlessness,2.67,3,3
yikes,2.67,3,3
nonsuccess,2.67,3,3
gunplay,2.67,3,3
quicksand,2.67,3,3
dreadful,2.67,3,3
nigger,2.67,3,3
gunpoint,2.67,3,3
crummiest,2.67,3,3
deranged,2.67,3,3
megaton,2.67,3,3
weirdly,2.67,3,3
lethal,2.67,3,3
vampirism,2.67,3,3
necrophilia,2.67,3,3
bereave,2.67,3,3
snobbish,2.67,3,3
antisemitism,2.67,3,3
emaciation,2.67,3,3
schizophrenia,2.67,3,3
harasser,2.67,3,3
warmonger,2.67,3,3
batterer,2.67,3,3
shellshock,2.67,3,3
implode,2.67,3,3
frightfulness,2.67,3,3
cyberbullying,2.67,3,3
bitchiness,2.67,3,3
toothache,2.67,3,3
stabbing,2.67,3,3
incompetence,2.67,3,3
scariness,2.67,3,3
eyeless,2.67,3,3
miscarry,2.67,3,3
daredevil,2.67,3,3
incurability,2.67,3,3
fervidly,2.67,3,3
doom,2.67,3,3
pathogenic,2.67,3,3
maltreat,2.67,3,3
topless,2.67,3,3
cannibalism,2.67,3,3
nitroglycerin,2.67,3,3
scarier,2.67,3,3
unprintable,2.67,3,3
agitatedly,2.67,3,3
oppressed,2.67,3,3
viscerally,2.67,3,3
incarcerated,2.67,3,3
disbarment,2.67,3,3
unsupportable,2.67,3,3
deceit,2.67,3,3
insatiable,2.67,3,3
imprisoned,2.67,3,3
amputation,2.67,3,3
antipathetically,2.67,3,3
infarct,2.67,3,3
emblaze,2.67,3,3
malignant,2.67,3,3
baneful,2.67,3,3
toxin,2.67,3,3
afflictive,2.67,3,3
panicattack,2.67,3,3
skyrocket,2.67,3,3
micromanipulation,2.67,3,3
bloodshot,2.67,3,3
uproot,2.67,3,3
fuck,2.67,3,3
hostilely,2.67,3,3
slammer,2.67,3,3
electrocution,2.67,3,3
bastardly,2.67,3,3
vivisectionist,2.67,3,3
distressfully,2.67,3,3
sinisterly,2.67,3,3
bilious,2.67,3,3
werewolf,2.67,3,3
plunderer,2.67,3,3
aerophobia,2.67,3,3
zoophobia,2.67,3,3
persecuted,2.67,3,3
cannibal,2.67,3,3
defenselessly,2.67,3,3
fucker,2.67,3,3
intolerably,2.67,3,3
totalitarian,2.67,3,3
lynch,2.67,3,3
vivisection,2.67,3,3
pow,2.67,3,3
malignance,2.67,3,3
ghastly,2.67,3,3
repulsive,2.67,3,3
murderousness,2.67,3,3
implosion,2.67,3,3
frightened,2.66,3,3
lymphoma,2.64,3,3
danger,2.64,3,3
backstab,2.64,3,3
bedlam,2.64,3,3
horridness,2.64,3,3
twat,2.64,3,3
insupportable,2.62,3,3
fearsomely,2.62,3,3
suffocating,2.62,3,3
airsickness,2.62,3,3
maim,2.62,3,3
enrage,2.62,3,3
psychopathic,2.62,3,3
incestuous,2.62,3,3
extortion,2.62,3,3
venom,2.62,3,3
despotism,2.62,3,3
rampancy,2.62,3,3
atrociously,2.62,3,3
bloodcurdling,2.62,3,3
cancerous,2.62,3,3
cunt,2.62,3,3
frantically,2.62,3,3
vendetta,2.62,3,3
appalling,2.62,3,3
castrate,2.62,3,3
twitching,2.62,3,3
warhead,2.62,3,3
meltdown,2.62,3,3
scary,2.62,3,3
irate,2.62,3,3
xenophobic,2.62,3,3
arthrosclerosis,2.62,3,3
bloodbath,2.62,3,3
antievolution,2.62,3,3
haunted,2.62,3,3
appalled,2.62,3,3
disturbing,2.62,3,3
poltergeist,2.62,3,3
grieve,2.62,3,3
maniac,2.62,3,3
wrath,2.62,3,3
assaulter,2.62,3,3
purgatory,2.62,3,3
fearfulness,2.61,3,3
hellish,2.61,3,3
fright,2.61,3,3
inhumanity,2.61,3,3
woozy,2.6,3,3
dreadfulness,2.6,3,3
chainsaw,2.6,3,3
infeasibility,2.6,3,3
aghast,2.6,3,3
evisceration,2.6,3,3
abasement,2.6,3,3
concussion,2.6,3,3
revolutionist,2.6,3,3
assassinator,2.6,3,3
manhunt,2.6,3,3
overstimulation,2.6,3,3
impolitely,2.6,3,3
carjack,2.6,3,3
pseudoscientific,2.6,3,3
sunstroke,2.6,3,3
larvae,2.6,3,3
dontmesswithme,2.6,3,3
hollowness,2.6,3,3
effyou,2.6,3,3
hurtle,2.6,3,3
sickroom,2.6,3,3
werewolves,2.6,3,3
barroom,2.6,3,3
humiliated,2.6,3,3
catastrophe,2.6,3,3
nohope,2.6,3,3
fuckin,2.6,3,3
unsympathetically,2.6,3,3
adrenalin,2.6,3,3
unceremoniously,2.6,3,3
unnerve,2.6,3,3
ensnarer,2.6,3,3
unfriendliness,2.6,3,3
isolative,2.6,3,3
rabidity,2.6,3,3
heatwave,2.6,3,3
genitalia,2.6,3,3
psychopathy,2.6,3,3
wracking,2.6,3,3
apocalyptically,2.6,3,3
insatiableness,2.6,3,3
suspiciousness,2.6,3,3
serfdom,2.6,3,3
sabotaged,2.6,3,3
shirk,2.6,3,3
jerker,2.6,3,3
overconsumption,2.6,3,3
vitriol,2.6,3,3
fanatically,2.6,3,3
inopportune,2.6,3,3
vindication,2.6,3,3
deathlike,2.6,3,3
stillbirth,2.6,3,3
rabid,2.6,3,3
wretchedly,2.6,3,3
desolateness,2.6,3,3
ulcerated,2.6,3,3
dereliction,2.6,3,3
tempestuousness,2.6,3,3
catastrophically,2.6,3,3
fidgety,2.6,3,3
pariah,2.6,3,3
unexploded,2.6,3,3
godlessness,2.6,3,3
homicidally,2.6,3,3
boneshaker,2.6,3,3
corrosiveness,2.6,3,3
seismologist,2.6,3,3
behead,2.6,3,3
addictiveness,2.6,3,3
barbwire,2.6,3,3
mayday,2.6,3,3
ruffled,2.6,3,3
abhorring,2.6,3,3
inquisitionist,2.6,3,3
heil,2.6,3,3
phantasm,2.6,3,3
perniciousness,2.6,3,3
stranglehold,2.6,3,3
seasick,2.6,3,3
megalomaniac,2.6,3,3
unpalatable,2.6,3,3
epidural,2.6,3,3
waitinggame,2.6,3,3
forsakenness,2.6,3,3
lockjaw,2.6,3,3
neuroses,2.6,3,3
backbreaker,2.6,3,3
disorganize,2.6,3,3
addict,2.6,3,3
nightmares,2.6,3,3
afraid,2.59,3,3
insufferableness,2.58,3,3
appendicitis,2.58,3,3
enragement,2.58,3,3
intolerable,2.58,3,3
unconscionably,2.57,3,3
gentrification,2.57,3,3
heroine,2.57,3,3
paralyze,2.57,3,3
abomination,2.57,3,3
insanitary,2.57,3,3
prisonlike,2.57,3,3
crossness,2.57,3,3
helpless,2.57,3,3
whorish,2.57,3,3
bloodthirstiness,2.57,3,3
emetophobia,2.57,3,3
flogging,2.57,3,3
horrendously,2.57,3,3
jubilate,2.57,3,3
streetwalking,2.57,3,3
tragedies,2.57,3,3
hydrofluoric,2.57,3,3
sepsis,2.57,3,3
misogynous,2.57,3,3
ominously,2.57,3,3
foreveralone,2.57,3,3
monophobia,2.57,3,3
infester,2.57,3,3
agoraphobic,2.57,3,3
fundamentalist,2.57,3,3
ihatespiders,2.57,3,3
hijacker,2.57,3,3
blackheart,2.57,3,3
snowstorm,2.57,3,3
deathbed,2.57,3,3
unendurably,2.57,3,3
heathenism,2.57,3,3
ruinous,2.57,3,3
unthinkable,2.57,3,3
treason,2.57,3,3
assassinated,2.57,3,3
shiftily,2.57,3,3
cower,2.57,3,3
underperformance,2.57,3,3
bedbug,2.57,3,3
allegorical,2.57,3,3
misjudged,2.57,3,3
inconsolable,2.57,3,3
eviscerate,2.57,3,3
frightfully,2.57,3,3
fired,2.57,3,3
diabolicalness,2.57,3,3
fomo,2.57,3,3
subjugator,2.57,3,3
anorexia,2.57,3,3
heroin,2.57,3,3
misguidance,2.57,3,3
caustically,2.57,3,3
obscene,2.57,3,3
quadriplegic,2.57,3,3
infuriate,2.57,3,3
embalmment,2.56,3,3
viciously,2.56,3,3
stigmatization,2.56,3,3
suicidal,2.56,3,3
predation,2.56,3,3
obliterated,2.56,3,3
boogieman,2.56,3,3
shockingly,2.56,3,3
travesty,2.56,3,3
remorselessness,2.56,3,3
racism,2.56,3,3
tailspin,2.56,3,3
robber,2.56,3,3
painful,2.56,3,3
sadomasochist,2.56,3,3
cataclysmically,2.56,3,3
heinous,2.56,3,3
frenzy,2.56,3,3
insolvency,2.56,3,3
malevolency,2.56,3,3
distraught,2.56,3,3
unwholesome,2.56,3,3
detest,2.56,3,3
revulsion,2.56,3,3
disfigurer,2.56,3,3
hysteria,2.56,3,3
forsaken,2.56,3,3
explode,2.56,3,3
unsettle,2.56,3,3
discombobulate,2.56,3,3
hellfire,2.56,3,3
disgust,2.56,3,3
minefield,2.56,3,3
incapacitation,2.56,3,3
penalty,2.56,3,3
trauma,2.56,3,3
metastasis,2.56,3,3
frantic,2.56,3,3
bloodily,2.56,3,3
aneurism,2.56,3,3
bloodlust,2.55,3,3
earthquake,2.55,3,3
enslaved,2.55,3,3
starvation,2.55,3,3
frighten,2.54,3,3
knifepoint,2.54,3,3
anorexic,2.54,3,3
misogynic,2.54,3,3
diphtheria,2.54,3,3
murder,2.54,3,3
cancer,2.54,3,3
deadly,2.53,3,3
depresson,2.53,3,3
atrocious,2.53,3,3
murderess,2.53,3,3
endangered,2.53,3,3
insanity,2.51,3,3
disheartenment,2.5,3,3
unsterile,2.5,3,3
furious,2.5,3,3
overexcite,2.5,3,3
overwhelming,2.5,3,3
arrhythmia,2.5,3,3
deflowerer,2.5,3,3
fratricide,2.5,3,3
swindler,2.5,3,3
housebreaker,2.5,3,3
meningitis,2.5,3,3
incompetently,2.5,3,3
distressfulness,2.5,3,3
inhospitably,2.5,3,3
shaking,2.5,3,3
abased,2.5,3,3
tripwire,2.5,3,3
thumbscrew,2.5,3,3
insanely,2.5,3,3
shit,2.5,3,3
noxiousness,2.5,3,3
madwoman,2.5,3,3
fraudulent,2.5,3,3
euthanize,2.5,3,3
fatality,2.5,3,3
foolhardily,2.5,3,3
insupportably,2.5,3,3
earsplitting,2.5,3,3
tsunami,2.5,3,3
desperately,2.5,3,3
indictment,2.5,3,3
disturb,2.5,3,3
shitload,2.5,3,3
wacko,2.5,3,3
fuckup,2.5,3,3
embattle,2.5,3,3
dreadfully,2.5,3,3
undernutrition,2.5,3,3
agitation,2.5,3,3
bratty,2.5,3,3
perniciously,2.5,3,3
extortive,2.5,3,3
napalm,2.5,3,3
stalker,2.5,3,3
ungovernably,2.5,3,3
oppressiveness,2.5,3,3
frightener,2.5,3,3
maniacally,2.5,3,3
frizz,2.5,3,3
intruder,2.5,3,3
captivity,2.5,3,3
poisoning,2.5,3,3
ruffian,2.5,3,3
terrorists,2.5,3,3
invalidation,2.5,3,3
uncontained,2.5,3,3
annihilator,2.5,3,3
spiders,2.5,3,3
harmfulness,2.5,3,3
wrongheadedness,2.5,3,3
disallowed,2.5,3,3
besetting,2.5,3,3
joylessness,2.5,3,3
abusive,2.5,3,3
psychoneurotic,2.5,3,3
pessimism,2.5,3,3
concussive,2.5,3,3
scare,2.5,3,3
nosedive,2.5,3,3
wounding,2.5,3,3
coldsweat,2.5,3,3
barf,2.5,3,3
cheat,2.5,3,3
overwhelmed,2.5,3,3
persecution,2.5,3,3
rioting,2.5,3,3
fatally,2.5,3,3
abjection,2.5,3,3
horridly,2.5,3,3
nauseate,2.5,3,3
defiler,2.5,3,3
quackery,2.5,3,3
sickness,2.5,3,3
crematorium,2.5,3,3
neurobiological,2.5,3,3
venomously,2.5,3,3
waiting,2.5,3,3
fear,2.5,3,3
thunderclap,2.5,3,3
rotting,2.5,3,3
unhinge,2.5,3,3
lobotomy,2.5,3,3
madman,2.5,3,3
liposuction,2.5,3,3
flog,2.5,3,3
machinegun,2.5,3,3
typhoon,2.5,3,3
imperilment,2.5,3,3
vasoconstriction,2.5,3,3
poisoned,2.5,3,3
endocarditis,2.5,3,3
eeeek,2.5,3,3
taboo,2.5,3,3
direness,2.5,3,3
defectiveness,2.5,3,3
obsessively,2.5,3,3
stressfully,2.5,3,3
fury,2.5,3,3
harrowing,2.5,3,3
impotently,2.5,3,3
traumatize,2.5,3,3
convulse,2.5,3,3
shithouse,2.5,3,3
expensively,2.5,3,3
belittle,2.5,3,3
infuriation,2.5,3,3
hostility,2.5,3,3
diabolism,2.5,3,3
hallucination,2.5,3,3
dreadnought,2.5,3,3
unflattering,2.5,3,3
unpredictable,2.5,3,3
malignity,2.5,3,3
abused,2.5,3,3
ordeal,2.49,2,3
explosive,2.48,2,3
horrid,2.48,2,3
bombed,2.47,2,2
tragedy,2.47,2,3
burglary,2.47,2,3
incendiary,2.47,2,3
dysentery,2.47,2,3
mercilessly,2.47,2,3
cadaver,2.47,2,3
raving,2.47,2,3
irreparability,2.46,2,3
infuriating,2.46,2,3
warfare,2.46,2,3
thrombosis,2.46,2,3
overwhelm,2.46,2,3
screaming,2.46,2,3
nuthouse,2.45,2,2
racialism,2.45,2,3
depressive,2.45,2,3
convulsion,2.45,2,3
malevolent,2.45,2,3
marooned,2.44,2,3
virulence,2.44,2,3
panicky,2.44,2,2
distrust,2.44,2,2
devastation,2.44,2,3
poisonously,2.44,2,3
sickening,2.44,2,3
starve,2.44,2,2
disappearance,2.44,2,2
confiscation,2.44,2,2
furiously,2.44,2,2
inhospitableness,2.44,2,3
hypertensive,2.44,2,3
chaos,2.44,2,3
safecracker,2.44,2,2
repugnantly,2.44,2,3
frostbite,2.44,2,2
homeless,2.44,2,3
enslave,2.44,2,3
restlessness,2.44,2,2
interrogation,2.44,2,3
scumbag,2.44,2,3
illicit,2.44,2,2
sabotage,2.44,2,3
kleptomania,2.44,2,2
worse,2.44,2,3
carcinoma,2.44,2,2
deceive,2.44,2,3
layoff,2.44,2,2
delirium,2.44,2,2
powerlessness,2.44,2,2
stab,2.44,2,3
melanoma,2.44,2,3
overthrow,2.44,2,3
depredation,2.44,2,3
carcinogen,2.44,2,2
maelstrom,2.44,2,2
hideousness,2.44,2,3
dismember,2.44,2,2
hideous,2.44,2,3
abuser,2.44,2,3
pitilessness,2.44,2,3
deathwatch,2.44,2,3
hostage,2.44,2,3
distortedly,2.44,2,3
stressful,2.44,2,2
afflict,2.44,2,3
petrify,2.44,2,3
injustice,2.44,2,2
deportation,2.44,2,2
impostor,2.44,2,3
tumour,2.44,2,2
cockroach,2.44,2,2
demolish,2.44,2,2
pillage,2.44,2,2
inconsolableness,2.43,2,3
abhorrent,2.43,2,3
hatefulness,2.43,2,3
abscond,2.43,2,3
leukemia,2.43,2,3
abandoner,2.43,2,3
bullied,2.43,2,2
