term,valence,arousal,dominance
absurdist,-0.333,0.0,0.333
absurdity,-0.77,0.056,-0.546
absurdly,-0.667,0.167,-0.167
absurdness,-0.875,-0.542,-0.333
abundance,0.624,0.38,0.704
abundant,0.916,0.18,0.52
abundantly,1.0,0.0,0.286
abuse,-0.858,0.746,-0.062
abused,-0.958,0.748,-0.53
abuser,-0.758,0.41,-0.434
abusive,-0.75,0.806,0.134
abusively,-0.714,1.0,0.37
abusiveness,-1.0,0.762,0.917
abutment,0.0,-0.47,0.232
abutting,0.0,0.667,0.083
abuzz,0.619,1.0,0.583
aby,-0.23,-0.096,-0.264
abysmal,-0.5,0.42,0.196
abysmally,-1.0,-0.667,-0.958
abyss,-0.294,0.45,-0.408
abyssal,-0.533,-0.963,-0.083
academia,0.156,-0.032,0.276
academic,0.562,-0.16,0.624
academic freedom,0.5,0.068,0.2
academic year,0.384,0.148,0.29
academically,0.667,-0.667,0.407
academy,0.408,-0.054,0.584
academy award,0.288,0.3,0.556
academy awards,0.656,0.328,0.5
acapulco,0.704,0.667,0.042
accede,0.396,0.02,0.074
accelerant,0.286,0.688,0.604
accelerate,0.23,0.804,0.518
accelerated,0.22,0.516,0.364
acceleration,0.408,0.81,0.686
accelerative,0.556,0.905,0.815
accelerator,0.186,0.66,0.624
acceleratory,0.444,1.0,0.708
accelerometer,0.0,0.667,0.667
accent,0.196,-0.286,0.018
accentual,0.095,0.222,0.296
accentuate,0.346,0.112,0.334
accentuation,0.667,0.667,0.583
accept,0.694,-0.428,0.13
acceptability,0.762,-0.667,0.407
acceptable,0.624,-0.428,0.166
acceptableness,0.667,-0.667,0.296
acceptably,0.542,-0.667,0.208
acceptance,0.666,-0.426,0.51
acceptances,0.694,-0.174,0.296
acceptant,0.667,-0.458,-0.481
accepter,0.667,0.0,0.0
acceptor,0.556,-0.519,0.037
access,0.428,-0.056,0.134
access code,0.096,-0.104,0.464
accessary,-0.238,-0.286,-0.208
accessibility,0.366,-0.086,0.026
accessible,0.592,-0.18,0.29
accessibly,0.889,-0.148,0.222
accession,0.224,-0.234,0.272
accessories,0.429,0.083,-0.208
accessorize,0.63,0.571,0.143
accessory,0.124,-0.416,-0.11
accident,-0.75,0.816,-0.328
accidental,-0.362,0.568,-0.386
accidentally,-0.334,0.482,-0.334
accidently,-0.333,0.333,-0.542
acclaim,0.124,0.618,0.436
acclaimer,0.81,0.667,0.611
acclamation,1.0,0.667,0.593
acclamatory,0.667,0.667,0.667
acclimate,0.333,0.63,0.25
acclimation,0.667,0.667,0.458
acclimatization,0.667,-0.593,0.125
acclimatize,0.625,0.667,0.476
accolade,0.376,0.182,0.55
accommodate,0.688,-0.25,0.132
accommodation,0.634,-0.17,0.174
accommodative,0.625,-0.619,-0.222
accommodator,0.667,-0.5,-0.167
accompanied,0.0,0.056,-0.208
accompanier,0.381,0.593,0.111
accompaniment,0.48,-0.042,0.39
accompanist,0.571,0.444,-0.333
accompany,0.666,-0.188,0.17
accompanying,0.574,-0.08,0.164
accomplice,-0.184,0.16,0.035
accomplish,0.858,0.346,0.632
accomplishable,0.667,0.095,0.875
accomplished,0.74,0.04,0.596
accomplisher,0.905,0.852,0.889
accomplishment,0.834,0.388,0.776
accord,0.796,-0.472,-0.236
accordable,0.556,0.0,0.048
accordance,0.318,-0.302,0.2
accordant,0.611,-0.63,0.238
according to,0.42,-0.278,0.112
accordion,0.208,-0.02,-0.278
accordionist,0.074,0.667,0.444
accost,-0.667,0.667,0.792
account,0.062,-0.306,-0.056
account executive,0.2,0.242,0.4
account for,0.0,-0.016,0.0
account name,0.234,-0.204,-0.104
accountability,0.51,0.074,0.666
accountable,0.418,-0.436,0.554
accountably,0.708,0.0,0.81
accountancy,0.222,-0.63,0.481
accountant,0.25,-0.1,0.278
accounting,0.104,-0.22,0.354
accounts,0.184,-0.32,-0.058
accounts receivable,0.268,-0.094,0.354
accoutrement,0.111,-0.074,0.542
accredit,0.75,0.417,0.619
accreditation,0.708,-0.667,0.667
accredited,0.338,-0.042,0.515
accretion,-0.104,0.038,0.344
accrual,0.667,0.667,0.63
accrue,0.04,-0.038,0.204
accruement,0.667,-0.167,0.519
accueil,-0.1,-0.098,-0.06
accumulate,0.146,0.072,0.214
accumulation,-0.042,0.054,0.2
accumulative,0.292,-0.524,0.542
accumulatively,0.0,0.667,0.5
accumulativeness,0.611,0.63,0.542
accumulator,0.0,0.481,0.667
accuracy,0.208,-0.038,0.604
accurate,0.486,-0.28,0.474
accurately,0.667,0.167,0.556
accurateness,0.667,-0.875,0.8
accurse,-1.0,0.667,-0.167
accursed,-0.73,0.49,-0.31
accursedly,-1.0,0.148,-0.583
accursedness,-1.0,-0.524,-0.815
accusable,-0.667,0.222,-0.667
accusation,-0.854,0.436,0.128
accusative,-0.604,0.51,-0.036
accusatively,-0.619,0.667,0.238
accusatorial,-0.667,0.667,0.778
accusatorially,-0.667,0.63,0.583
accusatory,-0.667,0.667,0.926
accuse,-0.734,0.504,0.0
accused,-0.74,0.34,-0.16
accused of,-0.42,0.154,-0.276
accuser,-0.756,0.558,0.23
accusing,-0.688,0.49,-0.352
accustom,0.042,-0.467,0.148
accustomed,0.084,-0.27,-0.118
accustomed to,0.13,0.016,0.146
ace,0.286,-0.038,0.092
acerbate,-1.0,0.667,-0.375
acerbic,-0.667,0.0,0.25
acetaminophen,0.333,-0.333,0.0
acetate,0.0,-0.667,0.0
acetic,-0.334,-0.16,0.038
acetone,-0.238,0.0,0.167
acetyl,0.0,0.0,0.083
acetylene,-0.388,-0.062,0.009
ache,-0.708,0.52,-0.376
ache for,-0.032,0.188,-0.296
achievable,1.0,-0.185,0.556
achieve,0.632,0.09,0.686
achieve success,1.0,0.118,0.75
achieved,0.792,0.038,0.55
achievement,0.792,0.616,0.518
achiever,0.905,0.667,1.0
achilles heel,-0.4,-0.178,-0.206
achiness,-0.714,-0.259,-0.958
aching,-0.894,0.76,-0.304
achromatic,0.0,-0.556,0.0
achy,-0.666,0.68,-0.254
acid,-0.47,0.284,0.132
acid rain,-0.838,0.404,-0.334
acidic,-0.667,0.0,0.074
acidification,-0.667,0.19,-0.571
acidifier,-0.333,0.417,0.333
acidify,-0.667,0.583,0.593
acidity,-0.688,0.326,-0.28
acidize,-0.667,0.667,0.407
acidly,-0.619,0.0,0.458
acknowledge,0.572,-0.26,0.322
acknowledgeable,0.708,0.0,0.458
acknowledged,0.428,-0.114,0.53
acknowledgement,0.638,0.078,0.66
acknowledger,0.5,0.611,0.111
acknowledgment,0.592,0.056,0.554
acme,-0.184,-0.13,-0.25
acne,-0.666,-0.052,-0.384
acolyte,0.333,-0.167,-0.375
acorn,-0.104,-0.604,-0.616
acoustic,0.084,-0.076,0.052
acoustic guitar,0.134,0.124,0.134
acoustical,0.0,-0.481,0.125
acoustically,0.0,0.0,0.074
acoustician,0.0,0.19,0.889
acoustics,0.222,-0.34,0.018
acquaint,0.292,-0.018,0.278
acquaintance,0.312,-0.42,0.34
acquaintanceship,0.333,-0.667,0.0
acquainted,0.812,-0.284,0.264
acquiesce,-0.095,-0.667,-0.667
acquiescence,0.084,-0.04,0.108
acquiescent,-0.333,-0.667,-0.889
acquiescently,-0.333,-0.667,-0.667
acquirable,0.571,0.333,0.37
acquire,0.666,-0.064,0.4
acquired,0.074,0.5,0.556
acquired taste,-0.104,-0.136,-0.068
acquirement,0.714,-0.667,0.519
acquirer,0.042,0.619,0.741
acquiring,0.47,0.02,0.634
acquisition,0.396,0.018,0.472
acquisitions,0.546,0.32,0.58
acquisitive,-0.292,0.667,0.625
acquisitively,0.167,0.625,0.63
acquisitiveness,-0.619,0.667,0.708
acquit,0.166,0.142,0.222
acquittal,0.52,-0.006,0.4
acquitted,1.0,-0.556,0.542
acquitter,1.0,0.583,0.733
acre,0.166,-0.226,-0.154
acreage,0.482,-0.1,0.056
acres,0.02,-0.274,0.0
acrid,-0.667,0.667,0.5
acridity,-0.81,0.667,-0.148
acridly,-0.905,0.583,0.167
acridness,-0.667,0.667,-0.542
acrimonious,-1.0,0.714,0.583
acrimoniously,-0.875,0.708,-0.375
acrimoniousness,-1.0,0.917,-0.556
acrimony,-1.0,0.667,-0.292
acrobat,0.416,0.656,0.204
acrobatic,1.0,1.0,0.519
acrobatically,0.704,1.0,0.708
acronym,0.0,0.0,0.0
acronymic,0.0,-0.889,0.125
acrophobia,-0.704,0.667,-0.704
acropolis,0.333,-0.667,0.762
across,0.0,0.667,0.0
across from,-0.242,-0.15,-0.06
acrostic,0.25,-0.083,0.083
acrylic,0.164,-0.442,-0.16
act,0.312,0.408,0.47
act as,0.178,-0.066,0.074
act for,-0.064,0.064,-0.04
act on,0.172,0.068,0.096
act out,-0.234,0.156,-0.088
act up,-0.036,0.186,-0.068
act upon,0.066,0.112,0.286
actin,0.0,0.667,0.519
acting,0.396,0.286,0.0
acting out,-0.634,0.226,-0.3
acting up,-0.036,0.334,0.034
action,0.52,0.796,0.604
action figure,0.186,0.405,0.163
action film,0.112,0.322,0.344
action movie,0.42,0.394,0.108
actionable,0.346,0.404,0.226
actionably,0.667,0.667,0.708
activate,0.528,0.3,0.612
activated,0.667,1.0,0.571
activation,0.562,0.6,0.508
activator,0.667,0.958,0.667
active,0.694,0.46,0.462
active duty,0.0,0.57,0.358
active list,0.032,0.304,0.29
actively,0.667,1.0,0.667
activeness,1.0,1.0,0.708
activism,0.667,0.708,0.667
activist,0.062,0.306,0.754
activities,0.667,1.0,0.333
activity,0.402,0.32,0.614
actor,0.306,0.122,0.258
actress,0.266,0.112,0.192
actual,0.458,-0.2,0.432
actuality,0.5,-0.072,0.2
actualization,1.0,0.519,0.722
actualize,0.778,0.667,0.63
actually,0.0,0.0,0.0
actuarial,0.0,-0.524,0.556
actuary,0.02,-0.192,-0.018
actuate,0.083,1.0,0.917
actuation,0.042,0.889,0.583
actuator,0.0,1.0,0.667
acuity,-0.062,-0.244,0.482
acumen,0.128,0.32,0.358
acupressure,0.667,0.37,0.333
acupuncture,0.062,-0.352,0.098
acupuncturist,0.407,0.381,0.444
acute,-0.146,0.304,0.068
acutely,-0.166,0.086,-0.018
acuteness,0.778,0.458,0.667
ad,0.042,0.41,0.116
ad agency,0.032,0.132,0.134
ad campaign,0.2,0.214,0.104
ad hoc,-0.104,-0.088,-0.138
ad hominem,-0.6,-0.074,-0.034
ad infinitum,0.0,0.196,0.104
ad libs,-0.064,0.036,-0.162
ad nauseam,-0.38,0.104,-0.034
adage,0.034,-0.17,0.132
adamant,-0.312,0.058,0.15
adamantly,0.0,0.667,0.81
adapt,0.48,-0.29,0.102
adaptability,0.833,0.067,0.667
adaptable,0.47,-0.154,0.282
adaptation,0.326,-0.27,0.218
adapter,0.0,0.0,0.333
adaption,0.667,0.619,0.542
adaptive,0.792,0.4,0.625
adaptively,0.667,0.5,0.417
adaptor,0.067,0.481,0.292
add,0.456,-0.02,0.108
add in,0.056,-0.208,0.162
add on,0.586,0.0,0.034
add to,0.0,0.178,0.062
add up,0.3,0.128,-0.134
addams family,0.258,0.078,0.124
added,0.124,-0.19,0.018
added value,0.5,0.226,0.516
addendum,-0.216,-0.26,-0.164
adder,-0.224,-0.078,0.176
addict,-0.85,0.392,-0.346
addicted,-0.688,0.424,-0.034
addictedness,-0.667,0.667,-0.778
addiction,-0.64,0.612,-0.16
addictive,-0.396,0.366,-0.056
addictiveness,-0.667,0.708,-0.6
addition,0.124,-0.254,-0.058
additional,0.346,-0.076,0.052
additionally,0.0,-0.593,0.056
additive,0.122,0.266,0.382
additively,0.0,0.0,0.0
addlebrained,-0.667,-0.519,-0.75
addled,-0.667,-0.625,-0.625
address,0.3,-0.346,0.134
addressable,0.667,0.048,0.583
addressbook,0.0,-0.667,0.259
addressee,0.244,-0.236,0.076
addresser,0.0,0.625,0.519
addresses,0.02,-0.292,-0.1
addressor,0.0,0.0,0.593
adenoid,-0.37,-0.556,-0.238
adept,0.188,0.078,0.578
adeptly,0.875,0.667,0.815
adeptness,1.0,0.19,0.704
adequacy,0.23,-0.13,0.404
adequate,0.708,-0.472,0.41
adequately,0.333,-0.125,0.222
adequateness,0.333,-0.667,0.571
adhd,-0.484,-0.054,-0.072
adhere,0.266,-0.322,0.108
adhere to,0.0,0.028,-0.242
adherence,0.52,-0.386,0.26
adherent,0.122,-0.23,0.11
adherently,0.067,-0.667,0.375
adherer,0.667,0.556,0.375
adhering,0.224,0.122,0.074
adhesion,0.042,-0.11,0.172
adhesive,0.208,-0.3,-0.174
adhesively,0.042,0.0,0.0
adhesiveness,0.5,-0.417,0.067
adieu,-0.5,-0.058,-0.316
adios,0.0,-0.556,0.0
adipose,-0.334,-0.3,-0.218
adjacency,-0.27,-0.166,-0.25
adjacent,0.29,-0.448,0.072
adjacent to,-0.266,-0.138,-0.068
adjacently,0.0,0.467,0.042
adjective,0.14,-0.368,0.138
adjectively,0.0,-0.556,0.0
adjoin,0.0,0.0,0.208
adjoining,0.04,-0.2,-0.214
adjourn,-0.23,-0.088,-0.05
adjournment,-0.124,0.02,-0.26
adjudicate,0.118,0.04,0.366
adjudication,0.102,-0.076,0.382
adjudicative,0.593,0.667,0.917
adjudicator,0.148,0.667,0.741
adjunct,-0.082,-0.12,-0.148
adjunction,0.0,0.0,0.25
adjunctive,0.0,0.524,0.185
adjunctively,0.0,0.0,0.222
adjure,0.0,0.63,0.889
adjust,0.294,-0.346,0.276
adjustability,0.667,0.667,0.476
adjustable,0.667,0.458,0.389
adjustably,0.042,0.0,0.292
adjuster,0.02,0.08,0.52
adjustment,0.18,0.04,0.322
adjustor,0.667,0.667,0.259
adjuvant,0.02,0.0,-0.088
admin,0.376,-0.16,0.708
administer,0.27,-0.15,0.72
administrable,0.63,0.296,0.667
administrant,0.0,0.583,0.762
administrate,0.111,0.667,1.0
administration,0.25,-0.192,0.572
administrational,0.0,-0.667,0.619
administrative,0.084,-0.17,0.158
administrative assistant,0.194,0.238,0.322
administratively,0.0,-0.571,0.619
administrator,0.076,-0.04,0.804
admirable,0.858,0.2,0.74
admirably,0.952,-0.429,0.5
admiral,0.688,-0.02,0.694
admiralship,1.0,-0.19,1.0
admiralty,0.188,0.094,0.466
admiration,0.938,0.166,0.452
admire,0.734,0.384,0.408
admired,0.834,0.12,0.63
admirer,0.592,0.44,0.3
admiring,0.734,0.156,0.258
admissibility,0.604,0.16,0.204
admissible,0.56,0.056,0.284
admissibly,0.0,-0.667,0.208
admission,0.604,-0.17,0.464
admissive,0.619,-0.556,-0.381
admit,0.076,-0.154,0.334
admit to,-0.1,-0.1,-0.172
admittance,0.38,-0.098,0.196
admitted,0.44,-0.02,0.534
admittedly,0.0,0.0,0.0
admitter,0.0,0.458,0.25
admitting,0.24,0.0,0.092
admixture,-0.1,-0.25,-0.124
admonish,-0.667,-0.444,0.667
admonisher,-0.5,0.625,0.762
admonishment,-0.667,0.542,0.583
admonition,-0.286,0.212,-0.09
ado,0.04,-0.154,-0.23
adobe,0.0,-0.362,-0.344
adolescence,-0.026,0.388,-0.112
adolescent,0.562,0.36,0.018
adolescently,0.0,0.583,-0.583
adopt,0.388,0.224,0.402
adoptability,0.708,-0.286,0.095
adoptable,0.667,-0.259,-0.25
adoptee,0.048,-0.292,-0.583
adopter,0.667,0.667,0.37
adoption,0.25,0.132,0.178
adoptive,0.062,-0.062,0.04
adoptively,0.667,0.037,-0.042
adorability,0.944,-0.333,-0.333
adorable,0.938,0.038,-0.086
adorableness,1.0,-0.333,-0.5
adorably,0.905,-0.542,-0.333
adoration,0.77,0.398,0.416
adore,0.708,-0.124,0.314
adored,1.0,-0.667,-0.148
adorer,0.963,0.667,0.222
adoring,0.77,0.24,0.434
adorn,0.82,-0.152,-0.036
adorner,0.667,-0.5,0.222
adornment,0.836,-0.254,-0.246
adrenal,0.0,0.917,0.625
adrenalin,0.73,0.84,0.572
adrenaline,0.53,0.913,0.551
adrift,-0.204,-0.028,-0.54
adroitness,0.926,0.667,0.778
adulate,0.444,0.667,-0.667
adulation,1.0,0.667,0.25
adulatory,0.625,0.125,0.143
adult,0.63,-0.018,0.574
adult life,0.13,0.064,0.234
adult male,-0.142,0.042,0.344
adulterant,-0.667,0.0,-0.524
adulterate,-0.792,0.333,-0.333
adulterated,-0.624,0.73,-0.26
adulteration,-0.708,0.0,-0.556
adulterator,-0.958,0.667,0.63
adulterer,-0.542,0.628,-0.186
adulteress,-0.708,0.542,-0.458
adulterous,-1.0,0.667,-0.375
adulterously,-0.958,0.63,0.208
adultery,-0.76,0.844,0.02
adulthood,0.082,-0.092,0.304
adultlike,0.667,-0.375,0.593
adultness,0.583,-0.519,0.571
advance,0.346,-0.056,0.716
advance poll,0.352,-0.152,0.27
advanced,0.688,0.246,0.594
advancement,0.552,0.3,0.678
advancer,0.667,1.0,0.952
advancing,0.858,0.216,0.722
advantage,0.834,0.096,0.718
advantageous,0.674,0.28,0.578
advantageously,0.917,0.083,0.958
advantageousness,1.0,-0.583,0.75
advent,0.33,0.12,0.254
advent calendar,0.42,-0.054,0.25
adventure,0.834,0.714,0.42
adventure game,0.134,0.434,0.528
adventurer,0.562,0.678,0.736
adventures,0.624,0.528,0.498
adventuresome,0.905,0.963,0.667
adventurism,0.667,1.0,0.708
adventurist,0.619,0.667,0.708
adventurous,0.938,0.796,0.444
adventurously,0.667,0.875,0.625
adventurousness,1.0,0.917,0.667
adverb,0.0,-0.19,0.0
adverbial,0.0,-0.667,0.095
adversarial,-0.667,0.889,0.81
adversary,-0.302,0.554,-0.086
adverse,-0.354,0.22,-0.23
adversely,-0.875,0.667,-0.63
adverseness,-0.667,0.583,-0.389
adversity,-0.448,0.444,0.076
advert,0.0,0.556,0.333
advertently,0.0,0.381,0.5
advertise,0.0,0.058,0.16
advertised,0.625,0.667,0.333
advertisement,0.2,0.132,0.078
advertiser,0.0,0.667,0.63
advertising,0.244,0.216,0.264
advertize,0.167,0.667,0.593
adverts,0.102,0.0,0.19
advice,0.396,-0.184,0.376
advisability,0.611,-0.667,0.481
advisable,0.734,-0.04,0.02
advisably,0.63,-0.667,0.458
advise,0.52,-0.214,0.41
advised,0.635,-0.504,0.238
advisedly,0.533,-0.667,0.524
advisee,0.167,-0.333,-0.458
advisement,0.396,-0.53,0.31
adviser,0.49,-0.276,0.41
advisor,0.292,-0.3,0.378
advisory,0.312,-0.142,0.266
advisory board,0.242,-0.074,0.276
advocacy,0.0,0.292,0.462
advocate,0.102,0.06,0.636
advocator,0.75,0.667,0.593
advocatory,0.611,0.63,0.593
aegis,-0.02,-0.122,-0.076
aerate,0.519,0.667,0.148
aeration,0.1,0.0,-0.134
aerator,0.667,0.667,0.556
aerial,0.23,-0.078,-0.074
aerialist,0.667,0.714,0.519
aerially,0.0,0.333,0.167
aerobatic,0.619,1.0,0.625
aerobic,0.667,1.0,0.542
aerobically,0.667,1.0,0.444
aerobics,0.416,0.542,0.254
aerobiological,0.0,0.667,0.0
aerobiology,0.0,0.667,0.458
aerodrome,0.082,0.48,0.356
aerodynamic,0.122,0.448,0.456
aerodynamicist,0.611,0.667,0.926
aerodynamics,0.18,0.326,0.444
aerograph,0.0,0.056,0.125
aerographer,0.042,0.19,0.429
aerographic,0.056,0.0,0.286
aerologist,0.0,0.125,0.708
aeromechanical,0.0,0.667,0.5
aeromechanics,0.0,0.667,0.667
aerometer,0.0,0.0,0.296
aeronaut,0.833,0.593,0.625
aeronautic,0.556,0.667,0.476
aeronautical,0.667,0.625,0.704
aeronautically,0.571,0.037,0.407
aeronautics,0.102,0.266,0.376
aerophobia,-0.667,0.75,-0.875
aeroplane,0.428,0.284,0.288
aerosol,0.0,0.0,0.074
aerospace,0.286,0.04,0.558
aerosphere,0.0,0.0,-0.037
aerostatic,0.0,0.375,0.25
aerostation,0.375,0.704,0.222
aesthetic,0.416,-0.116,0.052
aesthetical,0.875,-0.571,0.167
aesthetically,0.708,-0.133,0.111
aesthetician,0.619,-0.593,0.458
aestheticism,0.667,-0.667,0.571
